地区,年份,rengdp,cpi,gdp,gdpi
北京,2013,94648,33337,19800.81,40830.04
北京,2014,99995,36057,21330.83,44488.57
北京,2015,106497,39200,23014.59,48457.99
北京,2016,118198,48883,25669.13,52530.38
北京,2017,128994,52912,28014.94,57229.83
天津,2013,100105,26261,14442.01,26359.2
天津,2014,105231,28492,15726.93,28832.29
天津,2015,107960,32595,16538.19,31291.36
天津,2016,115053,36257,17885.39,34074.46
天津,2017,118944,38975,18549.19,37022.33
河北,2013,38909,11557,28442.95,15189.64
河北,2014,39984,12171,29421.15,16647.4
河北,2015,40255,12829,29806.11,18118.09
河北,2016,43062,14328,32070.45,19725.42
河北,2017,45387,15893,34016.32,21484.13
山西,2013,34984,12078,12665.25,15119.72
山西,2014,35070,12622,12761.49,16538.32
山西,2015,34919,14364,12766.49,17853.67
山西,2016,35532,15065,13050.41,19048.88
山西,2017,42060,18132,15528.42,20420.01
内蒙古,2013,67836,17168,16916.5,18692.89
内蒙古,2014,71046,19827,17770.19,20559.34
内蒙古,2015,71101,20835,17831.51,22310.09
内蒙古,2016,72064,22293,18128.1,24126.64
内蒙古,2017,63764,23909,16096.21,26212.23
辽宁,2013,61996,20156,27213.22,20817.84
辽宁,2014,65201,22260,28626.58,22820.15
辽宁,2015,65354,23693,28669.02,24575.58
辽宁,2016,50791,23670,22246.9,26039.7
辽宁,2017,53527,24866,23409.24,27835.44
吉林,2013,47428,13676,13046.4,15998.12
吉林,2014,50160,13663,13803.14,17520.39
吉林,2015,51086,14630,14063.13,18683.7
吉林,2016,53868,13786,14776.8,19966.99
吉林,2017,54838,15083,14944.53,21368.32
黑龙江,2013,37697,12978,14454.91,15903.45
黑龙江,2014,39226,15215,15039.38,17404.39
黑龙江,2015,39462,16443,15083.67,18592.65
黑龙江,2016,40432,17393,15386.09,19838.5
黑龙江,2017,41916,18859,15902.68,21205.79
上海,2013,90993,39223,21818.15,42173.64
上海,2014,97370,43007,23567.7,45965.83
上海,2015,103796,45816,25123.45,49867.17
上海,2016,116562,49617,28178.65,54305.35
上海,2017,126634,53617,30632.99,58987.96
江苏,2013,75354,23585,59753.37,24775.54
江苏,2014,81874,28316,65088.32,27172.77
江苏,2015,87995,31682,70116.38,29538.85
江苏,2016,96887,35875,77388.28,32070.1
江苏,2017,107150,39796,85869.76,35024.09
浙江,2013,68805,24771,37756.59,29774.99
浙江,2014,73002,26885,40173.03,32657.57
浙江,2015,77644,28712,42886.49,35537.09
浙江,2016,84916,30743,47251.36,38529
浙江,2017,92057,33851,51768.26,42045.69
安徽,2013,32001,11618,19229.34,15154.31
安徽,2014,34425,12944,20848.75,16795.52
安徽,2015,35997,13941,22005.63,18362.57
安徽,2016,39561,15466,24407.62,19998.1
安徽,2017,43401,17141,27018,21863.3
福建,2013,58145,17115,21868.49,21217.95
福建,2014,63472,19099,24055.76,23330.85
福建,2015,67966,20828,25979.82,25404.36
福建,2016,74707,23355,28810.58,27607.93
福建,2017,82677,25969,32182.09,30047.75
江西,2013,31930,11910,14410.19,15099.68
江西,2014,34674,12000,15714.63,16734.17
江西,2015,36724,14489,16723.78,18437.11
江西,2016,40400,16040,18499,20109.56
江西,2017,43424,17290,20006.31,22031.45
山东,2013,56885,16728,55230.32,19008.26
山东,2014,60879,19184,59426.59,20864.21
山东,2015,64168,20684,63002.33,22703.19
山东,2016,68733,25860,68024.49,24685.27
山东,2017,72807,28353,72634.15,26929.94
河南,2013,34211,11782,32191.3,14203.71
河南,2014,37072,13078,34938.24,15695.18
河南,2015,39123,14507,37002.16,17124.75
河南,2016,42575,16043,40471.79,18443.08
河南,2017,46674,17842,44552.83,20170.03
湖北,2013,42826,13912,24791.83,16472.46
湖北,2014,47145,15762,27379.22,18283.23
湖北,2015,50654,17429,29550.19,20025.56
湖北,2016,55665,19391,32665.38,21786.64
湖北,2017,60199,21642,35478.09,23757.17
湖南,2013,36943,12920,24621.67,16004.9
湖南,2014,40271,14384,27037.32,17621.74
湖南,2015,42754,16289,28902.21,19317.49
湖南,2016,46382,17490,31551.37,21114.79
湖南,2017,49558,19418,33902.96,23102.71
广东,2013,58833,23739,62474.79,23420.75
广东,2014,63469,24582,67809.85,25684.96
广东,2015,67503,26365,72812.55,27858.86
广东,2016,74016,28495,80854.91,30295.8
广东,2017,80932,30762,89705.23,33003.29
广西,2013,30741,11710,14449.9,14082.3
广西,2014,33090,12944,15672.89,15557.08
广西,2015,35190,13857,16803.12,16873.42
广西,2016,38027,15013,18317.64,18305.08
广西,2017,38102,16064,18523.26,19904.76
海南,2013,35663,11712,3177.56,15733.28
海南,2014,38924,12915,3500.72,17476.46
海南,2015,40818,17019,3702.76,18978.97
海南,2016,44347,18431,4053.2,20653.44
海南,2017,48430,20939,4462.54,22553.24
重庆,2013,43223,15423,12783.26,16568.67
重庆,2014,47850,17262,14262.6,18351.9
重庆,2015,52321,18860,15717.27,20110.11
重庆,2016,58502,21032,17740.59,22034.14
重庆,2017,63442,22927,19424.73,24152.99
四川,2013,32617,12485,26392.07,14230.99
四川,2014,35128,13755,28536.66,15749.01
四川,2015,36775,14774,30053.1,17220.96
四川,2016,40003,16013,32934.54,18808.26
四川,2017,44651,17920,36980.22,20579.82
贵州,2013,23151,9541,8086.86,11083.06
贵州,2014,26437,11362,9266.39,12371.06
贵州,2015,29847,12876,10502.56,13696.61
贵州,2016,33246,14666,11776.73,15121.15
贵州,2017,37956,16349,13540.83,16703.65
云南,2013,25322,11224,11832.31,12577.87
云南,2014,27264,12235,12814.59,13772.21
云南,2015,28806,13401,13619.17,15222.57
云南,2016,31093,14534,14788.42,16719.9
云南,2017,34221,15831,16376.34,18348.34
西藏,2013,26326,6275,815.67,9740.43
西藏,2014,29252,7205,920.83,10730.22
西藏,2015,31999,8756,1026.39,12254.3
西藏,2016,35184,9743,1151.41,13639.24
西藏,2017,39267,10990,1310.92,15457.3
陕西,2013,43117,13206,16205.45,14371.55
陕西,2014,46929,14812,17689.94,15836.75
陕西,2015,47626,15363,18021.86,17394.98
陕西,2016,51015,16657,19399.59,18873.74
陕西,2017,57266,18485,21898.81,20635.21
甘肃,2013,24539,9616,6330.69,10954.4
甘肃,2014,26433,10678,6836.82,12184.71
甘肃,2015,26165,11868,6790.32,13466.59
甘肃,2016,27643,13086,7200.37,14670.31
甘肃,2017,28497,14203,7459.9,16011
青海,2013,36875,12070,2122.06,12947.84
青海,2014,39671,13534,2303.32,14373.98
青海,2015,41252,15167,2417.05,15812.7
青海,2016,43531,16751,2572.49,17301.76
青海,2017,44047,18020,2624.83,19001.02
宁夏,2013,39613,13537,2577.57,14565.78
宁夏,2014,41834,15193,2752.1,15906.78
宁夏,2015,43805,17210,2911.77,17329.09
宁夏,2016,47194,18570,3168.59,18832.28
宁夏,2017,50765,21058,3443.56,20561.66
新疆,2013,37553,11401,8443.84,13669.62
新疆,2014,40648,12435,9273.46,15096.62
新疆,2015,40036,13684,9324.8,16859.11
新疆,2016,40564,15247,9649.7,18354.65
新疆,2017,44941,16736,10881.96,19975.1
